"platform_name","platform_url","category","adventure_scope_fit","primary_user","primary_customer","geography","listing_model","employer_profile_depth","housing_visible","meals_visible","pay_visible","map_discovery","mobile_discovery","trust_features","pricing_public","strength_summary","gap_summary","exploreandearn_differentiation","source_urls","date_accessed","confidence_score"
"Glassdoor","https://www.glassdoor.com/","Workplace-review, salary, company-research, career-community, and job-search product; current personalized jobs are powered by Indeed.","Partial. Observed: seasonal/housing opportunities are searchable, but the primary differentiation is employer transparency rather than adventure/place-based work.","Observed: job seekers and employees researching companies, pay, interviews, benefits, ratings, reviews, and workplace conversations.","Observed: employers and employer-brand teams; job posting/matching is increasingly integrated with Indeed.","Observed: global company/review coverage and localized experiences, with strong U.S. job/search depth.","Observed: Indeed-powered personalized job listings and applications combined with Glassdoor reviews/salaries/community; free employer profiles plus paid Employer Branding Hub/Enhanced Profile products.","Very high. Observed: company overview, reviews/ratings, salaries, benefits, interviews, photos, Q&A/community, employer responses, jobs, and branded content.","partial — Observed: housing can appear in job text and is findable by keyword; no standardized housing field/filter was established.","partial — Observed: meals can appear in job descriptions/benefits; no standardized meals field/filter was established.","yes — Observed: employer-provided or estimated pay can appear on jobs, and Glassdoor's core product includes salary search/comparison.","unknown — Observed: a historical Job Explorer map was launched in 2014, but no current official product page verified that it remains an active discovery feature, so it is not counted as current.","yes — Observed: the current public app page supports workplace conversations, salary transparency, and company reviews/ratings in the Glassdoor app.","yes — Observed: multi-step technology/algorithm/human moderation, anti-manipulation rules, employer inability to pay to remove negative reviews, review anonymity protection, employer responses, and community guidelines. Caveat: Glassdoor says it does not fact-check ordinary employment disputes.","partial — Observed: Free and Paid employer-branding tiers and their feature differences are public; paid dollar prices require contacting Sales.","Observed: deepest independent employer-reputation and salary context in this set, with moderated anonymous worker voice and integration into Indeed's job-matching reach.","Observed/inference: housing/meals and seasonal living experience are not structured; job discovery increasingly overlaps Indeed; reviews may be sparse for small seasonal hosts and are not fact adjudications; some useful functionality/account data is gated.","Inference: focus worker feedback on season-specific realities (housing, meals, transport, schedule, management, contract completion) using structured, privacy-safe prompts and freshness windows—without attempting to replicate Glassdoor's general employer-review corpus.","https://www.glassdoor.com/about/;https://www.glassdoor.com/about/onelogin/;https://www.glassdoor.com/about/trust/;https://www.glassdoor.com/apps.htm;https://www.glassdoor.com/employers/features-and-pricing/;https://www.glassdoor.com/employers/sign-up/","2026-07-12","94"
"SimplyHired","https://www.simplyhired.com/","Broad public job search/aggregation interface integrated with Indeed accounts, matching, and employer posting.","Partial. Observed: seasonal-with-housing keyword searches return destination/camp/resort roles, but there is no adventure-first taxonomy.","Observed: general U.S. job seekers browsing jobs, salary information, companies, and city job markets.","Observed: employers are routed to Indeed's employer platform for free and sponsored posting.","Observed: primarily United States in the reviewed public product.","Observed: search/aggregation with public job details, Quick Apply or external apply, job alerts, and an Indeed-linked profile; employer acquisition/posting is handled through Indeed.","Partial. Observed: results expose company name/rating, job details, benefits, qualifications, and salary where available; employer research is materially thinner than Glassdoor/Indeed Company Pages.","partial — Observed: housing-specific keyword result pages work and listing text can expose housing, but no normalized housing field/filter was established.","partial — Observed: meals may occur in listing text/benefits, but no normalized meals field/filter was established.","yes — Observed: pay is prominently visible on many cards/details and salary-estimator/local-and-national salary resources are linked.","no — Observed: current public discovery is title/skill/company + city/state/ZIP/remote list search, not map search.","partial — Observed: the current web product promotes portable job search and shares profile/preferences with Indeed; unknown: no current dedicated SimplyHired mobile app was established.","partial — Observed: Indeed account/terms integration, company ratings, source applications, and employer posting under Indeed quality/usage constraints; not observed: distinct SimplyHired employer verification or independent seasonal-living validation.","partial — Observed: employers can create eligible free Indeed posts and optionally sponsor them on a pay-as-you-go basis; the SimplyHired employer page does not publish a standalone dollar price schedule.","Observed: very simple public search, large inventory, visible pay/benefits/qualifications, quick application paths, and access to the Indeed ecosystem without a separate account.","Observed/inference: limited independent differentiation from Indeed; no map; shallow seasonal employer story; and housing/meals remain keyword text rather than comparable decision fields.","Inference: offer a purpose-built seasonal/adventure data layer, complete opportunity map, employer-life profiles, verified source/freshness, and structured pay/housing/meals/transport comparison rather than another general search facade.","https://www.simplyhired.com/;https://www.simplyhired.com/post-jobs;https://www.simplyhired.com/learn-more;https://www.simplyhired.com/search?q=seasonal+with+housing+provided","2026-07-12","94"
"RanchWork.com","https://www.ranchwork.com/","Paid niche ranch, farm, equestrian, hunting, guest-ranch, and outdoors job board; also accepts paid ""job wanted"" ads.","high — ranch and outdoors roles, seasonal work, dude/guest ranches, wranglers, hunting, caretaking, cooking, and housing-oriented discovery align closely with work-as-adventure.","Ranch/outdoors job seekers, including individuals or couples seeking full-time, part-time, seasonal, and live-in work.","Ranches, farms, outfitters, estates, guest-ranch operators, and other employers buying job-ad exposure; job seekers can also buy ""job wanted"" listings.","U.S.-first, with state/location browsing and support in the posting form for Canada and other international locations.","Employer-submitted job openings plus candidate-submitted ""job wanted"" listings; free trial and one-time paid packages; category and location browsing; featured/newsletter/social distribution in paid packages.","partial — the posting form captures employer name, optional website, contact route, location, job description, media, and application method, but the product is primarily an ad rather than a persistent, deeply structured operation profile; employers may post as private.","yes — housing is a required yes/no/maybe field and there is a dedicated public housing category.","partial — meals/board may be described in the ad, but no dedicated meals field or public meals filter was found.","yes — salary is a required posting field, though the content and precision remain employer-entered.","no — public discovery is based on lists, categories, and locations; no job map was found.","partial — RanchWork says its interface was rebuilt for speed and mobile accessibility, but no current native app was found.","partial — long operating history, human-owned niche positioning, EEOC posting rules, contact/application choices, Stripe checkout, and visible filled/expired status; no public ID verification, employer verification, worker reviews, or completed-stay review loop was found.","yes — one-time employer packages are Free (one-time trial with delayed/short placement), Silver $95, Gold $125, Platinum $195, and Diamond $295; duration and promotion benefits vary. Public job-wanted packages are Silver $99, Gold $149, and Platinum $199.","The strongest ranch-specific paid-work competitor: deep occupational fit, strong niche audience, current inventory, housing discovery, transparent ad pricing, and both employer and candidate-side posting.","Limited map/place inspiration, inconsistent meal and benefit structure, shallow employer identity, and limited public verification/reputation controls. Paid-employment status is clear, but legal compliance beyond posting rules remains with employer and worker.","Preserve RanchWork's ranch vocabulary and paid-job clarity, then add verified operation profiles, map/mobile discovery, structured pay/housing/meals/transport/season fields, place storytelling, worker reviews, and application workflow. Do not mix unpaid exchange results into paid ranch-job results without a prominent opportunity-type boundary.","https://www.ranchwork.com/;https://www.ranchwork.com/about-us/;https://www.ranchwork.com/post-a-job-opening/;https://www.ranchwork.com/post-a-job-opening/job-listing-form/;https://www.ranchwork.com/post-a-job-wanted/;https://www.ranchwork.com/jcategory/ranch-jobs-with-housing/","2026-07-12","96"
"RanchWorldAds","https://www.ranchworldads.com/","Ranch classifieds marketplace with a Ranch Jobs category alongside horses, livestock, properties, equipment, services, and other ranch commerce.","medium-high — directly relevant ranch jobs appear, but employment is one category inside a much broader buying/selling marketplace rather than an experience-led career product.","Ranch job seekers and the broader ranch/equine classified audience.","Individual and business ad posters across ranch jobs and other classified categories.","U.S.-centric public state browsing with North American reach; public job ads can include Canadian locations.","Account-based paid photo classifieds; Ranch Jobs and Seeking Ranch Job ads sit in the same classified system as non-job inventory.","partial — a poster account, employer/contact fields, location, description, photos, and video may be present, but there is no public evidence of a persistent, structured employer profile comparable to a modern company/host page.","yes — Ranch Jobs ads expose a room-and-board field.","partial — room and board can communicate food/board, but meal detail is not a dedicated searchable facet.","yes — job ads expose a salary field, subject to what the poster supplies.","no — category, keyword, state, city, and ad-number browsing are evidenced; no map experience was found.","unknown — the official public pages reviewed do not advertise a native app or document a mobile-specific discovery product.","partial — user accounts, site rules, poster history links, classified status, and contact routes exist; no public host/employer ID verification, worker reviews, or employment-specific vetting workflow was found.","yes — the public site says horse, cattle, dog, and real-estate ads are $35/year with richer media and all other photo classified ads are $10/year with five photos. Ranch Jobs appears in the ""all other"" structure, but the post flow requires login, so confirm the category price at checkout before relying on it operationally.","Very low public ad cost and valuable ranch-industry adjacency across jobs, horses, livestock, property, and services.","Jobs compete with unrelated classifieds; employer identity, trust, search facets, map/mobile discovery, and career workflow are thin. Compensation and room/board are poster-entered rather than normalized or validated.","Offer a job-only, modern, mobile/map experience with structured role terms, verified operations, current status, and worker-safe application routing, while retaining cross-links to the surrounding ranch ecosystem where useful.","https://www.ranchworldads.com/;https://www.ranchworldads.com/account.php?action=add;https://www.ranchworldads.com/siterules.php","2026-07-12","84"
"AgCareers.com","https://www.agcareers.com/","Paid agriculture, food, natural-resources, and biotechnology career portal with job advertising, employer branding, resume database access, talent sourcing, compensation data, and career education.","medium-low — excellent agriculture career relevance, including farm production and internships, but the product is profession/industry-led rather than place/adventure-led.","Agriculture and food candidates ranging from students and interns to production, technical, corporate, and executive professionals.","Agriculture/food employers, recruiters, education partners, and HR/talent teams.","Multi-region/global job inventory with particularly strong U.S. and Canadian employer coverage and regional support for Australia/New Zealand; public jobs also appear in other countries.","Employer-paid job postings, branded employer/job pages, candidate applications, saved jobs and alerts, resume database access, featured distribution, and optional talent sourcing.","yes — public employer/recruiter browsing, employer partner profiles, logos/branding on postings, organization descriptions, and links to all jobs or official career sites are supported; depth varies by package/partner status.","no — no standardized housing field or housing filter was found in the public job-board flow.","no — no standardized meal/board field or filter was found.","partial — job pages support a salary value, but employers may use non-numeric values and salary disclosure is not consistently structured across inventory.","partial — robust location search and location pages are current; older official guidance documents an interactive map, but the current public mobile flow reviewed did not establish map-led discovery as a primary experience.","partial — a current mobile web experience is public. AgCareers' official materials reference a Job Seeker Mobile App, but current app-store availability was not independently confirmed in this pass.","partial — branded employer pages, employer partners, apply routing, established candidate accounts, resume tools, career resources, and customer support; no worker-review or consumer-style employer-ID verification loop was found.","yes — one job is $395; 2-job package $325/job; 3 at $300/job; 4 at $250/job; 5 at $220/job, each live up to 60 days and including two weeks of resume-database access. Public add-ons include Maximum Posting Exposure $150/job, Confidential Posting $50, and resume-database-only access $500/month. Public talent sourcing is shown at $1,000 for roles below $85k and $3,000 for roles above $85k.","The most complete agriculture recruiting stack in this set: broad career coverage, candidate database, employer branding, sourcing, salary intelligence, career resources, and transparent B2B pricing.","Weak work-as-adventure positioning and no structured housing/meals layer; location is functional rather than immersive. Professional breadth can bury hands-on, seasonal, rural, and live-on-site roles.","Curate the hands-on and place-dependent edge of agriculture—farm, ranch, seasonal, stewardship, guest operations, and rural production—with map/place media and structured living terms, while linking back to official employers and keeping employment compliance explicit.","https://m.agcareers.com/;https://m.agcareers.com/advertising-rates.cfm;https://m.agcareers.com/employer.cfm;https://m.agcareers.com/employer-partners.cfm","2026-07-12","92"
"Farm Job Search","https://www.farmjobsearch.com/","Agriculture-only job board and consultant-mediated staffing/matching service.","medium-high — strong hands-on farm/ranch and rural operations relevance, but discovery is a long text list rather than an adventure/place experience.","Farm and agribusiness job seekers across management, livestock, crop, equipment, maintenance, sales, and general farm work.","Farms, ranches, and agribusiness employers seeking public job exposure and optional consultant matching.","Predominantly United States, with the public service describing candidates across most states and occasional Canadian roles.","Employers submit openings to staff for review; public listings can remain live for a year or more/until removal; consultants can review candidate questionnaires and personally match applicants.","partial — the intake captures business name and contact/address information, and the service says farm-business information can remain visible with the job, but there is no rich standardized company or place profile.","partial — the employer form specifically prompts housing description within a free-text benefits field, not a normalized filter.","partial — meals could appear within free-text job benefits, but there is no dedicated meals field/filter.","yes — salary range is a dedicated employer intake field, although public completion varies by employer.","no — public discovery is a dated list and location text; no map was found.","partial — public web pages are accessible, but no native app or documented mobile discovery product was found.","partial — human consultants say they personally review openings and candidate information and have farm-operations experience; no public ID verification, employer review, or worker feedback system was found.","partial — job listing is publicly described as free for a year or more with optional voluntary donations, and employers have no obligation until a hire. The site also describes staffing as having no employer obligation until hire, but the contingent placement fee amount is not public.","Agriculture-only relevance, free long-duration listings, and a personal matching layer can serve employers and candidates who want human help rather than only self-service search.","Stale/long inventory risk, minimal filtering, no map, weak place storytelling, free-text housing/benefits, and opaque post-hire staffing economics.","Add freshness controls, self-serve status and applications, structured compensation/living fields, location maps, and verified operation pages while retaining an optional human concierge for hard-to-fill rural roles.","https://www.farmjobsearch.com/;https://farmjobsearch.com/employers.php?site=FJS;https://www.farmjobsearch.com/employerform.php?site=FJS;https://www.farmjobsearch.com/about.php","2026-07-12","95"
"WWOOF USA (with global WWOOF federation context)","https://wwoofusa.org/","Nonprofit organic-farm cultural and educational exchange membership network; not a paid job board.","very high for farm learning, sustainable agriculture, rural immersion, food, nature, and community; intentionally not ""earn""/employment.","WWOOFers seeking hands-on organic farming and sustainable-living education.","Paid WWOOFer members and approved host members; national WWOOF organizations operate their own memberships.","WWOOF USA covers hosts in the United States. Globally, WWOOF is a federation of national organizations; there is no single membership covering every country. WWOOF Independents covers hosts in 80+ countries without a national organization.","Approved host directory with map/list views, filters, farm and host profiles, photos, reviews, favorites, availability, visit requests, messaging, and a shared common platform across member organizations.","yes — rich host rather than employer profiles, with farming methods, learning opportunities, projects, host type, dates, length of stay, lodging, meals/diets, capacity, languages, mentoring identity, and reviews.","yes — accommodation is part of the exchange and lodging types are public directory filters; USA standards require an accommodation description and sleeping-area photo.","yes — hosts provide meals/food, and the directory includes meal/diet filters. WWOOF USA host guidance specifies lodging and three meals per day for overnight visitors.","no — WWOOF states that no money is exchanged between hosts and WWOOFers.","yes — the public USA host directory is map-based and supports farming, date, lodging, meal, capacity, region, and other filters.","yes — official iOS/Android app links are on WWOOF USA; the Federation app supports host discovery, saved hosts, messaging, visits, calendars, and member connections.","yes — host approval and required criteria, local national staff, host standards, secure ID verification, reviews, response rate, respectful-relationships policy, and a WWOOF-Verified host badge with additional performance criteria.","partial — public official pages establish that WWOOFers and hosts pay membership fees, memberships are annual, and USA offers solo/dual memberships; the current retail amounts were not shown on the public pre-registration pages reviewed. A USA scholarship page says a $40 donation funds one annual membership, but that is not treated here as definitive 2026 retail pricing.","The clearest farm-specific immersion network: mission alignment, deep agricultural filters, map discovery, rich living/learning expectations, strong host standards, reviews, local support, and mobile access.","It is not employment and does not support wages. Membership is fragmented by country, and international participants must independently verify immigration and labor-law eligibility; WWOOF/hosts do not provide visa sponsorship or legal advice.","Create a clearly separate **paid farm/ranch work** lane with wage, payroll/employment status, benefits, housing charges, visa/sponsorship facts, and employer verification, while borrowing WWOOF's learning-practice taxonomy, map, stay detail, and community trust patterns. Never describe a no-money WWOOF-style exchange as paid work.","https://wwoofusa.org/en/how-it-works;https://wwoofusa.org/en/hosts;https://info.wwoofusa.org/hostingstandards/;https://info.wwoofusa.org/wwoofverified/;https://info.wwoofusa.org/visainfo/;https://go.wwoofusa.org/host/;https://wwoof.net/;https://help.wwoof.net/hc/en-us/articles/16654242331037-I-want-to-go-WWOOFing-in-different-countries-Is-there-an-international-membership;https://help.wwoof.net/hc/en-us/articles/16654279384221-What-visa-do-I-need","2026-07-12","98"
"Workaway","https://www.workaway.info/","Global cultural exchange, volunteer, farmstay, homestay, house/pet-sitting, community, NGO, and working-holiday membership marketplace; includes a policy-controlled paid-business-host edge but is not primarily a job board.","very high — broad global travel inventory, farmstays, sustainable projects, boats, remote communities, last-minute availability, travel buddies, events, and cultural immersion.","Travelers/workawayers seeking cultural exchange, volunteering, learning, and working-holiday experiences.","Paid individual/couple Workawayer members; host registration is publicized as free.","Global — Workaway publicly describes 50,000+ opportunities in more than 170 countries.","Host profiles and availability with traveler applications/messages; global list and map, extensive filters, favorites, feedback, travel buddies, and community functions. Hosts can be individuals, families, farms, communities, NGOs, schools, hostels, boats, and businesses.","yes — rich host/place profiles describe people, location, cultural exchange, help, learning, accommodation, food, availability, media, and feedback; business-host pay obligations are policy-driven, not equivalent to a full employment record.","yes — accommodation information is a core exchange term and a public search/filter dimension.","yes — host guidance says cultural-exchange hosts generally provide accommodation and food, and farmstay guidance describes accommodation/meals; exact arrangements remain host-specific.","partial — most opportunities are exchange, not wages. Workaway tells business hosts or hosts requesting help with business activity that they should offer free accommodation plus at least the applicable minimum wage for each hour worked; this is platform guidance, and paid status/detail varies by profile and jurisdiction.","yes — public host search has a Map view, and a dedicated hosts-on-map feature supports nearby/destination discovery.","yes — official Workaway pages promote Workawayer and host mobile apps.","yes — manual review of new/renewed/updated profiles, optional secure ID verification and badge, two-sided feedback, report/investigation flow, 24-hour support, emergency help, response guarantee, and reference letters.","yes — locale-sensitive public standard one-year plans showed US$69 individual/US$79 couple on the U.S. response and £49/£59 on GBP responses; Plus showed US$89/US$99 and £69/£79 respectively; host registration is free. Recheck locale before external use.","The broadest travel-community competitor here, combining global supply, rich host/place context, map/mobile discovery, feedback, identity tools, social features, and support.","Paid and unpaid opportunities coexist near a sensitive legal boundary. Workaway is a contact facilitator, not an employment agent, and it does not routinely run background checks. Wage, visa, tax, insurance, and worker-classification compliance remain jurisdiction-specific.","Specialize in vetted farm/ranch/outdoor paid work, separate employment from cultural exchange at the data-model and search-result level, validate wage/hours/housing deductions, and add operation/employer credentials. Borrow Workaway's map, rich place profiles, mobile tools, reviews, and support.","https://www.workaway.info/en/info/how-it-works/workawayer;https://www.workaway.info/en/info/how-it-works/host;https://www.workaway.info/en/hostlist;https://www.workaway.info/en/hosttype/farm;https://www.workaway.info/en/info/safety;https://www.workaway.info/en/info/safety/idverification;https://www.workaway.info/en/signup/workawayer;https://www.workaway.info/en/account/workawayer/hosts-on-map","2026-07-12","98"
"Worldpackers","https://www.worldpackers.com/","Global volunteer/collaborative exchange marketplace plus traveler community and learning content; explicitly not an employment marketplace.","very high — farms, farmstays, permaculture, eco-villages, communities, hostels, homestays, NGOs, schools, nature projects, cultural immersion, and skill-based travel in 140+ countries.","Travelers seeking skills-for-accommodation volunteer/collaborative experiences.","Travelers buying annual Trips/Pack memberships; hosts are supply-side projects using recruitment, messaging, calendar, and mobile tools.","Global — official pages describe 9,000+ hosts in 140+ countries and a community spanning more countries.","Public searchable opportunity pages and rich host/position profiles; paid members apply/message and confirm trips; structured tasks, hours, dates, accommodation, meals, benefits, requirements, reviews, response metrics, and sustainability/top-host badges.","yes — rich host/project and position profiles, though these are exchange hosts rather than employers; detailed host information and videos may be member-gated.","yes — accommodation is required and appears as structured filters and position benefits.","yes — public search filters support at least one/all meals, and individual opportunities show meal benefits when offered.","no — Worldpackers prohibits monetary compensation, positions exchanges as collaboration rather than employment, and says it does not recommend work contracts; exchanges are capped at 32 volunteer hours/week and 12 weeks with one host.","no — the public discovery reviewed is destination/list/filter based; no map control was found.","yes — official search and host pages link to the Worldpackers app, and host tooling is advertised for web and mobile.","yes — individually approved hosts, review monitoring, confirmed-trip two-sided reviews, Top Host and sustainability badges, response/approval signals, on-platform agreements/messages, 7-day support, Host Response Guarantee, and tiered WP Safeguard emergency-accommodation support.","yes — public one-year plans show Solo Trips $59, Solo Pack $109, Solo Pack Plus $139, Couples/Friends Trips $69, Couples/Friends Pack $129, and Couples/Friends Pack Plus $159. Specific social/eco projects may request a separately disclosed collaboration fee; Worldpackers says there are no other platform-use fees during an active plan.","Excellent experience merchandising and structured exchange detail: task/hours, stays, lodging, meals, benefits, purpose, reviews, response signals, mobile, learning, and travel safeguards.","No wages; the exchange is positioned as collaboration rather than employment; no public map was found; some detailed host information is member-gated; and some social/eco hosts may charge extra. Travelers remain responsible for visas, insurance, transport, and destination-law compliance.","Own the paid-opportunity side Worldpackers explicitly excludes: verified employers, lawful wage data, job classification, taxes/payroll, housing charges, sponsorship facts, and worker protections—while matching its structured benefits, experience taxonomy, community proof, mobile flow, and support.","https://www.worldpackers.com/topics/how-worldpackers-works;https://help.worldpackers.com/en/hc/how-does-worldpackers-work;https://www.worldpackers.com/search/eco;https://www.worldpackers.com/en/hosts;https://help.worldpackers.com/en/hc/initial-questions;https://help.worldpackers.com/en/hc/visa-doubts;https://www.worldpackers.com/get_verified","2026-07-12","98"
"MaritimeJobs","https://www.maritimejobs.com/","Specialist maritime job board and resume database","Medium - genuine shipboard and vessel travel, but the public inventory is predominantly licensed, technical, government, or shoreside career work rather than seasonal lifestyle work","Credentialed mariners, vessel operators, engineers, maritime technicians, and shoreside professionals","Maritime employers, recruiters, vessel operators, government fleets, and marine-industry firms","Global interface; current public supply is visibly U.S.-leaning","Paid 30-day employer postings with Standard, Premium, and Recruiter tiers; resume posting/search; featured placement; newsletters; and partner maritime-media distribution","Medium - public featured-employer pages can show a logo, overview, external website, headquarters, and jobs; the experience is vacancy-first rather than rich culture or place storytelling","No structured housing field evidenced; it may only appear in employer-authored free text","No structured meals field evidenced; it may only appear in employer-authored free text","Partial - compensation can appear in public job text, but no universal required salary field is evidenced","No - keyword, category, and location lists and filters","Public web discovery confirmed; no first-party native job-search app found","Terms reject non-genuine employment, pay-to-join schemes, and improper discriminatory criteria, but state that the platform is a conduit with no obligation to pre-screen user content","Yes - 30-day single posts are $150 Standard, $200 Premium, and $300 Recruiter; public bulk pricing and cross-media features are itemized","Focused maritime taxonomy, resume database, employer visibility, and amplification through a broader marine publishing network","Conventional professional board with no normalized housing, meals, and pay triad; no map; and limited seasonal or place-led context","Own verified seasonal marina, coastal, and shoreside discovery while clearly separating licensed roles; require housing, meals, pay, duration, eligibility, and place context and support map browsing","https://www.maritimejobs.com/;https://www.maritimejobs.com/jobs;https://www.maritimejobs.com/pricing;https://www.maritimejobs.com/pages/terms;https://www.maritimejobs.com/pages/contactus","2026-07-12","95"
"Sea Career","https://www.seacareer.com/","Specialist seagoing, offshore, and maritime job board","Medium - global vessel and offshore work has travel appeal, but the core market is qualified professional seafaring rather than open-entry seasonal adventure work","Qualified seafarers, deck and engineering officers and ratings, offshore workers, and senior shore-based maritime professionals","Vetted shipowners, maritime employers, and recruiters hiring for covered vessel and offshore sectors","Worldwide reach; UK-operated with a visible European and UK orientation in public audience statistics","Paid 30-day job advertising, applications saved or emailed or redirected to an external ATS, candidate database and CV search, job credits, and a public company directory","Medium - company pages can show a logo, country, overview, and current jobs, but profiles are secondary to rank, vessel, and recruiter taxonomies","Partial - housing can appear within employer-authored job text, but no standardized housing field or filter is evidenced","Partial - meals can appear within employer-authored job text, but no standardized meals field or filter is evidenced","Partial - a structured salary value appears on some public job pages, but compensation is not evidenced as universally required","No - taxonomy and search-led discovery","Public web discovery confirmed; no first-party native app found","Official pages state that recruiters are manually vetted and jobs manually checked; terms still require candidate judgment and do not guarantee every outcome","Yes - a Basic 30-day post is $85, Urgent is an additional $46, Featured is an additional $63, ten job credits start at $660, and an $815 annual unlimited promotion was shown through July 14, 2026; prices exclude VAT","Strong rank, credential, vessel, and offshore taxonomy; explicit recruiter gatekeeping; global reach; candidate search; and transparent recruiter pricing","Deliberately professional and credential-heavy; housing, meals, and pay are not normalized; there is no map or rich lived-experience layer","Create a distinct seasonal marina and coastal lane while using explicit credential badges for professional roles; normalize housing, meals, pay, season, place, and eligibility","https://www.seacareer.com/;https://www.seacareer.com/about-us/;https://www.seacareer.com/recruiters/;https://www.seacareer.com/terms-conditions/;https://www.seacareer.com/contact/","2026-07-12","97"
"gCaptain Jobs","https://jobsite.gcaptain.com/","Maritime news and community brand with a linked career-center endpoint currently in maintenance","Unknown for the current product - gCaptain historically addresses professional maritime and offshore careers, but the current public job experience could not be evaluated","Maritime and offshore professionals within gCaptain's editorial audience","Unknown for the current career-center product; maritime employers and recruiters are the likely customer, but this was not verifiable","gCaptain's editorial audience is global; current job-board geography is unknown because the endpoint is unavailable","Unknown - gCaptain's current Jobs and Careers link resolves to a maintenance page","Unknown - the current career center is unavailable","Unknown - the current career center is unavailable","Unknown - the current career center is unavailable","Unknown - the current career center is unavailable","Unknown - the current career center is unavailable","Unknown - the current career center is unavailable","gCaptain is an established editorial brand, but no current vacancy-vetting, employer-verification, or application workflow is publicly evaluable","No current public job-post price found; the career-center endpoint is in maintenance","A large, highly relevant maritime editorial audience could provide strong distribution if the career center returns","Current public discovery is unavailable and the active product, metadata, pricing, and trust workflow cannot be verified","Offer a live, accessible marketplace with explicit role status, employer verification, place context, living terms, and clear credential or eligibility gates","https://gcaptain.com/;https://gcaptain.com/jobs/;https://jobsite.gcaptain.com/","2026-07-12","88"
"Crewseekers","https://www.crewseekers.net/","Yacht-crew introduction marketplace spanning amateur passages and professional sailing work","High - route-based sailing, mile-building, deliveries, ocean passages, and professional yacht work align closely with adventure discovery","Aspiring, amateur, and professional yacht crew across a wide range of experience levels","Crew members are paying customers; yacht owners and skippers supply opportunities and can buy promotion; commercial providers can buy directory placement","Worldwide","Free public browsing; paid crew membership to contact owners; free owner registration and standard opportunity posting; paid promotion; and a separate commercial directory","Medium - boat and opportunity details plus crew profiles, qualifications, CVs, identity verification, and reviews; personal owner contact is gated and this is not a conventional employer brand profile","Partial - living aboard is intrinsic and accommodation constraints can be described, but no standardized housing field comparable to Explore&Earn is evidenced","Partial - onboard cost-sharing categories can encompass living costs, but meals are not a separate standardized field","Yes at status level - each opportunity uses a financial-arrangement category distinguishing paid positions, working passages, and contribution models; exact wage is not guaranteed","No - filter and list discovery rather than a map","Public web discovery confirmed; no first-party native app found","Opportunity review before publication, optional identity verification, qualification and CV upload, standardized financial categories, and constrained member reviews; owner-supplied information still requires member safety and suitability checks","Yes - single crew membership is £75 for 6 months, £99 for 12 months, or £135 for 18 months; standard owner posting is free, promotion is £30, and directory advertising is £50 per month; partner plans are also public","Closest reviewed analogue to adventure-led maritime discovery, with global routes, beginner-to-professional participation, peer profiles, and standardized economic-status categories","It is an introduction service rather than employment-only; paid work, cost-sharing, and working passages coexist, while housing, meals, and exact pay are not normalized","Keep the route and experience appeal but make employment, volunteer, exchange, and contribution models unmistakable; require verified host identity, legal-work classification, housing, meals, pay, and safety terms","https://www.crewseekers.net/;https://www.crewseekers.net/how-it-works/;https://www.crewseekers.net/memberships/;https://www.crewseekers.net/faqs/;https://www.crewseekers.net/terms/","2026-07-12","98"
"Dockwalk","https://www.dockwalk.com/jobs","Superyacht crew media, career guidance, training, regulation, and salary-reference publisher; an adjacent channel rather than a verified current public job board","Medium-high audience fit - superyacht crew life is inherently travel-linked, but direct public vacancy discovery was not confirmed","Superyacht captains, crew, engineers, managers, and aspiring yacht professionals","Industry advertisers including yachting suppliers, training providers, agencies, and service businesses","Global superyacht hubs, with physical and digital distribution in major yachting centers","Editorial articles, career and training guidance, magazine, newsletters, and advertising; the public Jobs route behaves as a content vertical and is anti-bot gated rather than a confirmable vacancy marketplace","Not applicable - no current public employer-profile or vacancy-marketplace layer was established","No - not a structured vacancy capability","No - not a structured vacancy capability","Not applicable for vacancies; compensation-oriented editorial exists, but it is not job-level disclosure","No","Public website, newsletters, and digital magazine confirmed; no current native job-discovery app found","Long-running specialist editorial brand and domain education; no public employer or vacancy vetting workflow is in scope","Partial - public 2026 advertising rates exist, but no current public job-listing product or employment-post price was verified","Deep superyacht audience credibility, career education, regulatory and training context, and distribution in major yachting hubs","Not a clearly functioning public job marketplace; lacks actionable openings, employer verification, standardized living terms, and map discovery","Combine Dockwalk-like education and audience relevance with verified openings, credential pathways, upfront living terms, and geographically browsable place profiles","https://www.dockwalk.com/jobs;https://www.dockwalk.com/jobs/training;https://news.dockwalk.com/newsletter_sign_up;https://cdn.dockwalk.com/files/2025/11/63c1d9e0-c0a9-11f0-b991-6bcd4ae3b893-Dockwalk-Media-Kit-2026.pdf;https://cdn.dockwalk.com/files/2025/08/9811c6c0-79c7-11f0-a906-c33bc4b6e446-Dockwalk-Rate-Card-2026.pdf","2026-07-12","86"
