"company_name","category","website","source_url","city","state","region","contact_name_if_public","contact_role_if_public","email_if_public","phone_if_public","contact_page","why_fit","likely_season","likely_housing","confidence_score","outreach_priority","verification_status","notes","last_checked_at"
"Smoky Mountain River Rat","outdoor tourism operators","https://smokymtnriverrat.com","https://smokymtnriverrat.com/contact-us/","Townsend","TN","Southern Appalachians","","","","865-448-8888","https://smokymtnriverrat.com/contact-us/","Tubing and whitewater operator needs guest service, shuttle, river-base, equipment, and guide support during warm-weather demand.","Late spring through early fall","Unknown — confirm with host","79","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Likely season is an inference from river operations; official contact page explicitly links to summer-job information.","2026-07-12"
"Cajun Encounters Tour Company","outdoor tourism operators","https://www.cajunencounters.com","https://www.cajunencounters.com/","Slidell","LA","Gulf Coast","Jeff Rogers","Owner","info@cajunencounters.com","504-834-1770","https://www.cajunencounters.com/locations/55345-us-90","Swamp-tour operator needs captains and guides plus dock, shuttle, reservations, retail, maintenance, and guest-service support.","Year-round with spring and summer tourism peaks","Unknown — confirm with host","78","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Likely season is an inference from Louisiana tourism patterns; Jeff Rogers is identified publicly as owner on the official homepage.","2026-07-12"
"Wildwater Chattooga","outdoor tourism operators","https://wildwaterrafting.com","https://wildwaterrafting.com/contact-us/","Long Creek","SC","Southern Appalachians","Jack Wise","CEO","","864-647-9587","https://wildwaterrafting.com/contact-us/","Rafting, zipline, lodging, reservations, and base operations create guide, guest-service, transport, and site-support needs.","Spring through fall","Unknown — confirm with host","71","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Likely season is an inference from warm-season adventure operations; Jack Wise and the Chattooga manager number are public on the official page.","2026-07-12"
"Mohonk Mountain House","seasonal resorts","https://www.mohonk.com","https://www.mohonk.com/contact/","New Paltz","NY","Mid-Atlantic","","","hr@mohonk.com","845-255-1000","https://www.mohonk.com/contact/","Full-service mountain resort supports hospitality, recreation, spa, dining, transportation, grounds, and guest-experience roles.","Year-round with summer, foliage, and holiday peaks","Unknown — confirm with host","69","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Likely season is an inference from the resort's year-round operation; official contact page publishes a Human Resources email.","2026-07-12"
"The Mast Farm Inn","farms","https://www.themastfarminn.com","https://www.themastfarminn.com/map-and-directions","Valle Crucis","NC","Southern Appalachians","","Hiring contact","shay@mastfarminn.com","828-963-5857","https://www.themastfarminn.com/map-and-directions","Historic rural inn and restaurant can offer hands-on lodging, food-service, events, property, and guest-experience work.","Year-round with summer and foliage peaks","Unknown — confirm with host","85","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Likely season is an inference from mountain lodging demand; official page publicly invites resumes to the listed hiring email.","2026-07-12"
"Camp Friendship","camps","https://campfriendship.com","https://campfriendship.com/contact/","Palmyra","VA","Mid-Atlantic","","","info@campfriendship.com","434-589-8950","https://campfriendship.com/contact/","Residential and equestrian camp needs counselors, activity staff, riding support, food service, maintenance, and retreat operations.","Summer, with smaller spring and fall programs","Unknown — confirm with host","81","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Likely season is an inference from the official traditional, equestrian, and family-camp schedule; confirm hiring details directly.","2026-07-12"
"Colorado Mountain Ranch","camps","https://www.coloradomountainranch.com/","https://www.coloradomountainranch.com/copy-of-positions-dates","Boulder","CO","Mountain West","","","office@coloradomountainranch.com","303-442-4557","https://www.coloradomountainranch.com/copy-of-positions-dates","High-elevation summer camp hires activity, youth-program, equine, food, and site-support staff for a defined season.","Summer","Unknown — confirm with host","81","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Official page is hiring for summer 2026; housing is not treated as confirmed. Confirm dates, eligibility, and any lodging directly.","2026-07-12"
"Custer State Park Resort","seasonal resorts","https://www.custerresorts.com/","https://www.custerresorts.com/contact","Custer","SD","Northern Plains","","","","605-255-4772","https://www.custerresorts.com/contact","Multi-lodge state park concession has lodging, restaurants, stores, recreation, events, housekeeping, and remote facilities work.","Late April through mid-October peak","Unknown — confirm with host","79","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Likely season follows official lodge and restaurant operating dates; confirm hiring dates and housing with resort management.","2026-07-12"
"Flathead Lake Lodge","ranches","https://www.flatheadlakelodge.com/","https://www.flatheadlakelodge.com/contact/","Bigfork","MT","Northern Rockies","","","info@flatheadlakelodge.com","406-837-4391","https://www.flatheadlakelodge.com/contact/","Lakefront guest ranch has concentrated lodging, meal, horse, waterfront, and guest-program operations.","Early June through August peak","Unknown — confirm with host","81","high","official_site_verified","OFFICIAL_TIMING_EVIDENCE. PRIORITY_OUTREACH_TOP_30. Likely season follows the official family-season dates published on the site; confirm employment dates with host.","2026-07-12"
"CM Ranch","ranches","https://cmranch.com/","https://cmranch.com/contact/","Dubois","WY","Northern Rockies","","","stay@cmranch.com","307-455-2331","https://cmranch.com/contact/","Remote seasonal dude ranch has lodging, meals, horses, children's programming, maintenance, and guided fishing.","June through September","Unknown — confirm with host","81","high","official_site_verified","OFFICIAL_TIMING_EVIDENCE. PRIORITY_OUTREACH_TOP_30. Official contact page states the ranch season typically runs June through September; confirm employment dates with host.","2026-07-12"
"Los Poblanos Historic Inn & Organic Farm","farms","https://lospoblanos.com/","https://lospoblanos.com/contact","Los Ranchos de Albuquerque","NM","Southwest","Barb Swanson SPHR","Director of Human Resources","info@lospoblanos.com","505-938-2191","https://lospoblanos.com/contact","Farm hospitality enterprise integrates lodging, restaurant, agriculture, events, retail, production, and guest programming.","Year-round; summer lavender and event peak","Unknown — confirm with host","76","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Likely season is inferred from farm, hospitality, and event operations; official directory lists the HR director and phone.","2026-07-12"
"Gordon Lodge","seasonal resorts","https://gordonlodge.com/","https://gordonlodge.com/contact/","Baileys Harbor","WI","Great Lakes","","","glodge@gordonlodge.com","920-839-2331","https://gordonlodge.com/contact/","Door County waterfront resort has lodging, dining, weddings, recreation, housekeeping, and property operations.","Late spring through fall peak","Unknown — confirm with host","81","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Likely season is inferred from Door County resort operations; official contact form includes an employment inquiry path.","2026-07-12"
"Grand Canyon Railway & Hotel","seasonal resorts","https://www.thetrain.com/","https://www.thetrain.com/connect/contact/","Williams","AZ","Southwest","","","info-gcr@xanterra.com","928-635-4010","https://www.thetrain.com/connect/contact/","Integrated railway, hotel, RV park, food, retail, and guest-transport operation offers varied seasonal work pathways.","Year-round; summer and holiday peaks","Unknown — confirm with host","69","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Likely season is inferred from daily railway operations and holiday programming; confirm hiring window and worksite with host.","2026-07-12"
"Tordrillo Mountain Lodge","lodges","https://www.tordrillomountainlodge.com/","https://www.tordrillomountainlodge.com/contact-us/","Judd Lake","AK","Remote Southcentral Alaska","","","info@tordrillo.com","907-569-5588","https://www.tordrillomountainlodge.com/contact-us/","Fly-in backcountry lodge requires tightly integrated hospitality, activity, food, maintenance, and transport operations.","Winter and summer adventure seasons","Unknown — confirm with host","69","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Season inferred from the official package-date ranges published on the contact page; confirm placement timing.","2026-07-12"
"Alaska Wildland Adventures","lodges","https://www.alaskawildland.com/","https://www.alaskawildland.com/reservations/contact/","Girdwood","AK","Southcentral Alaska","Kirk Hoessle","President and CEO","info@alaska-wildland.com","800-334-8730","https://www.alaskawildland.com/reservations/contact/","Operates remote wilderness lodges and guided trips needing coordinated guest services, food service, guiding, and transport.","Late spring–early fall peak","Unknown — confirm with host","73","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Season inferred from lodge model and Alaska operating climate; confirm exact host timing. Leadership name is published at https://www.alaskawildland.com/about/.","2026-07-12"
"Gunstock Ranch","ranches","https://gunstockranch.com/","https://gunstockranch.com/contact/","Kahuku","HI","North Shore Oahu","Lilia","Sales and Marketing contact","lilia@gunstockranch.com","808-341-3995","https://gunstockranch.com/contact/","Working ranch and eco-tour operator combines livestock care, horseback activities, tours, events, sales, and land stewardship.","Year-round tourism and ranch operations","Unknown — confirm with host","73","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Season inferred from Hawaii ranch and tour operations; confirm exact host timing. The official contact page lists Lilia for groups, sales, and marketing.","2026-07-12"
"Schweitzer","seasonal resorts","https://www.schweitzer.com/","https://www.schweitzer.com/about-us/contact-us","Sandpoint","ID","Selkirk Mountains","","","jobs@schweitzer.com","208-263-9555","https://www.schweitzer.com/about-us/contact-us","Large mountain resort provides hospitality, lifts, recreation, rentals, retail, food, lodging, and facilities work across seasons.","Winter and summer peaks","Unknown — confirm with host","81","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Season inferred from official winter and summer mountain offerings; confirm exact placement dates.","2026-07-12"
"Westport Marina","marinas","https://www.portofgraysharbor.com/westport-marina","https://www.portofgraysharbor.com/westport-marina","Westport","WA","Pacific Coast","Molly Bold","General Manager, Westport Marina","mbold@portgrays.org","360-533-9562","https://www.portofgraysharbor.com/westport-marina","Major working-fishing marina offers exposure to vessel services, moorage, seafood-landings infrastructure, and visitor operations.","Summer and fisheries-cycle peaks","Unknown — confirm with host","78","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Season inferred from marine tourism and fishing cycles; confirm exact host need. Manager name and email are published at https://www.washingtonports.org/business-directory/port-of-grays-harbor/.","2026-07-12"
"Alaska Seafood Company","fisheries","https://alaskaseafoodcompany.com/","https://alaskaseafoodcompany.com/contact-us/","Juneau","AK","Southeast Alaska","","","info@alaskaseafoodcompany.com","907-780-5111","https://alaskaseafoodcompany.com/contact-us/","Cannery, smokehouse, retail, and wholesale operations offer varied production, packing, fulfillment, and customer-service exposure.","Year-round with seasonal seafood peaks","Unknown — confirm with host","74","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Season inferred from the official site's year-round operation statement and normal seafood cycles; confirm host demand.","2026-07-12"
"Camp Namanu","camps","https://www.campnamanu.com/","https://www.campnamanu.com/contact","Sandy","OR","Mount Hood foothills","","","info@campnamanu.com","","https://www.campnamanu.com/contact","Large outdoor camp can host structured experience in youth programming, food, facilities, environmental learning, and site logistics.","Summer camp peak","Unknown — confirm with host","65","high","official_site_verified","PRIORITY_OUTREACH_TOP_30. Season inferred from camp operations; confirm current program dates and host capacity.","2026-07-12"
"Bud N' Mary's Fishing Marina","marinas","https://www.budnmarys.com","https://www.budnmarys.com/contact-us/","Islamorada","FL","Florida Keys","","","tackleshop@budnmarys.com","305-664-2461","https://www.budnmarys.com/contact-us/","Busy fishing marina combines charter coordination, dock and tackle operations, lodging, events, and customer service.","Year-round with winter and spring fishing peaks","Unknown — confirm with host","74","medium","official_site_verified","Likely season is an inference from Florida Keys fishing demand; the email is publicly designated for general inquiries, not reservations.","2026-07-12"
"Rancho de la Osa","ranches","https://www.ranchodelaosa.com/","https://www.ranchodelaosa.com/employment","Sasabe","AZ","Southwest","","","info@ranchodelaosa.com","520-339-1086","https://www.ranchodelaosa.com/employment","Very remote guest ranch directly invites employment inquiries and needs lodging, food, housekeeping, equine, and guest-activity support.","Fall through spring peak","Unknown — confirm with host","81","medium","official_site_verified","Likely season is inferred from desert guest-ranch operations; official employment page invites resumes but does not confirm housing.","2026-07-12"
"Cheeca Lodge & Spa","seasonal resorts","https://www.cheeca.com","https://www.cheeca.com/contact","Islamorada","FL","Florida Keys","","","info@cheeca.com","305-664-4651","https://www.cheeca.com/contact","Oceanfront resort integrates lodging, dining, marina, watersports, fishing, spa, grounds, and guest adventures.","Year-round with winter and holiday peaks","Unknown — confirm with host","69","medium","official_site_verified","Likely season is an inference from Florida Keys demand patterns; no employee-housing statement was found on the cited official page.","2026-07-12"
"Clearwater Historic Lodge & Canoe Outfitters","outdoor tourism operators","https://clearwaterhistoriclodge.com/","https://clearwaterhistoriclodge.com/aboutus/contact_directions/","Grand Marais","MN","Upper Midwest","","","info@clearwaterhistoriclodge.com","218-388-2254","https://clearwaterhistoriclodge.com/aboutus/contact_directions/","Remote BWCA lodge and outfitter needs guest service, cabin, store, rental, trip-prep, and property support.","Early May through early October","Unknown — confirm with host","81","medium","official_site_verified","OFFICIAL_TIMING_EVIDENCE. Official contact page states the public lodge is generally closed from early October to early May; confirm employment dates with host.","2026-07-12"
"Grand Hotel","seasonal resorts","https://www.grandhotel.com/","https://www.grandhotel.com/our-story/contact-us/","Mackinac Island","MI","Great Lakes","","","","906-847-3331","https://www.grandhotel.com/our-story/contact-us/","Car-free island resort requires a large coordinated team across rooms, dining, events, retail, gardens, transport, and maintenance.","May through October","Unknown — confirm with host","74","medium","official_site_verified","Likely season is inferred from the official description as a summer hotel; confirm employment dates and housing directly.","2026-07-12"
"Graves Mountain Farm & Lodges","farms","https://gravesmountain.com","https://gravesmountain.com/about/contact-us/","Syria","VA","Mid-Atlantic","","","info@gravesmountain.com","540-923-4231","https://gravesmountain.com/about/contact-us/","Working farm, lodges, cabins, campground, restaurant, market, stables, trails, and events create diverse rural host functions.","Spring through fall, with reduced winter operations","Unknown — confirm with host","84","medium","official_site_verified","Likely season is inferred from the official operating schedule and farm-resort model; current roles and dates must be confirmed.","2026-07-12"
"Grosse Savanne Lodge","lodges","https://www.grossesavanne.com","https://www.grossesavanne.com/contact-us","Lake Charles","LA","Gulf Coast","","","info@grossesavanne.com","337-598-2357","https://www.grossesavanne.com/contact-us","Remote sporting lodge on working wetlands and agricultural land combines lodging, meals, fishing, hunting, guiding, and property support.","Fall through spring, with fishing activity year-round","Unknown — confirm with host","74","medium","official_site_verified","Likely season is an inference from Gulf Coast hunting and fishing cycles; current roles and any remote-site logistics must be confirmed.","2026-07-12"
"Lake Powell Resorts & Marinas","marinas","https://www.lakepowell.com/","https://www.lakepowell.com/contact-us","Page","AZ","Southwest","","","","928-645-2433","https://www.lakepowell.com/contact-us","Remote marina resort spans lodging, boat rentals, docks, fuel, maintenance, food service, retail, and customer support.","Spring through fall; summer peak","Unknown — confirm with host","67","medium","official_site_verified","Likely season is inferred from official lake and boating operations; confirm role location, dates, and housing directly.","2026-07-12"
"Nantahala Outdoor Center","outdoor tourism operators","https://noc.com","https://noc.com/contact-us/","Bryson City","NC","Southern Appalachians","","","","828-785-5082","https://noc.com/contact-us/","Major rafting and outdoor-adventure operator combines guiding, lodging, retail, food service, reservations, and river-base operations.","Spring through fall","Unknown — confirm with host","62","medium","official_site_verified","Likely season is an inference from warm-season river operations; current roles, certifications, and work dates must be confirmed.","2026-07-12"
"Rock Harbor Lodge","lodges","https://www.rockharborlodge.com/","https://www.rockharborlodge.com/contact-us/","Houghton","MI","Great Lakes","","","","877-841-1064","https://www.rockharborlodge.com/contact-us/","Boat-access national park lodge has remote lodging, dining, store, marina, rental, housekeeping, and supply-chain needs.","Late spring through early fall","Unknown — confirm with host","74","medium","official_site_verified","Likely season is inferred from the official summer-season designation; Houghton is the published mailing city and operations are on Isle Royale.","2026-07-12"
"YMCA Camp Greenville","camps","https://www.campgreenville.org","https://www.campgreenville.org/contact","Cleveland","SC","Southern Appalachians","","","","864-836-3291","https://www.campgreenville.org/contact","Large mountain camp and retreat property offers residential camp, adventure, food-service, facilities, and event operations.","Summer, with shoulder-season retreats and events","Unknown — confirm with host","79","medium","official_site_verified","Likely season is an inference from the official summer-camp and retreat model; current openings and employment terms must be confirmed.","2026-07-12"
"YMCA Camp Sea Gull and Camp Seafarer","camps","https://www.seagull-seafarer.org","https://live.seagull-seafarer.org/about/contact-us","Arapahoe","NC","Southeast Coast","","","RegistrationOffice@YMCATriangle.org","252-249-1212","https://live.seagull-seafarer.org/about/contact-us","Two large waterfront residential camps require counselors, seamanship and activity staff, kitchen, health, office, and facilities teams.","Summer, with spring and fall family programs","Unknown — confirm with host","69","medium","official_site_verified","Likely season is inferred from official camp calendars; the public contact information is for the combined camp office.","2026-07-12"
"Adirondack Camp","camps","https://www.adirondackcamp.com","https://www.adirondackcamp.com/contact-us","Putnam Station","NY","Mid-Atlantic","","","info@adirondackcamp.com","518-547-8261","https://www.adirondackcamp.com/contact-us","Residential lake camp can offer outdoor instruction, waterfront, kitchen, maintenance, and camper-support work in a remote setting.","Summer","Unknown — confirm with host","69","medium","official_site_verified","Likely season is an inference from the summer-camp model; confirm current staffing needs and any employment conditions directly.","2026-07-12"
"Dillman's Bay Resort","seasonal resorts","https://www.dillmans.com/","https://www.dillmans.com/bay/contact-us/","Lac du Flambeau","WI","Upper Midwest","","","frontdesk@dillmans.com","715-588-3143","https://www.dillmans.com/bay/contact-us/","Northwoods resort combines cabins, motel rooms, workshops, marina rentals, events, food service, and grounds.","May through October peak","Unknown — confirm with host","69","medium","official_site_verified","Likely season is inferred from official workshop dates and lake-resort operations; confirm hiring window with host.","2026-07-12"
"Gunflint Lodge & Outfitters","outdoor tourism operators","https://gunflint.com/","https://gunflint.com/contact-us/","Grand Marais","MN","Upper Midwest","","","info@gunflint.com","800-328-3325","https://gunflint.com/contact-us/","Remote wilderness lodge combines cabins, restaurant, canoe outfitting, fishing, boats, guiding, and winter recreation.","Summer wilderness and winter recreation seasons","Unknown — confirm with host","81","medium","official_site_verified","Likely season is inferred from official summer and winter activities; confirm employment dates and housing with host.","2026-07-12"
"Hawks Cay Resort","seasonal resorts","https://www.hawkscayresort.com","https://www.hawkscayresort.com/","Duck Key","FL","Florida Keys","","","","305-743-7000","https://www.hawkscayresort.com/","Large island resort and marina supports lodging, food service, watersports, fishing, recreation, spa, grounds, and events.","Year-round with winter and holiday peaks","Unknown — confirm with host","62","medium","official_site_verified","Likely season is an inference from Florida Keys travel patterns; official homepage verifies location and public resort phone.","2026-07-12"
"Island Queen Ferry","outdoor tourism operators","https://islandqueen.com","https://islandqueen.com/about/contact/","Falmouth","MA","New England","","","","508-548-4800","https://islandqueen.com/about/contact/","Passenger ferry requires dock, ticketing, vessel, parking, reservations, and guest-flow support during the Cape Cod travel season.","Late spring through early fall","Unknown — confirm with host","67","medium","official_site_verified","Likely season is an inference from the ferry's seasonal tourism route; exact operating and hiring dates must be confirmed.","2026-07-12"
"Kualoa Ranch","ranches","https://www.kualoa.com/","https://www.kualoa.com/contact-and-direction","Kaneohe","HI","Windward Oahu","","","reservation@kualoa.com","808-237-7321","https://www.kualoa.com/contact-and-direction","Large working ranch and visitor attraction combines agriculture, livestock, tours, food, transport, grounds, and guest operations.","Year-round tourism","Unknown — confirm with host","69","medium","official_site_verified","Season inferred from Hawaii's year-round visitor economy and ranch operations; confirm exact host timing. Email is displayed at https://www.kualoa.com/faq.","2026-07-12"
"Mission Point Resort","seasonal resorts","https://www.missionpoint.com/","https://www.missionpoint.com/contact-us","Mackinac Island","MI","Great Lakes","","","","800-833-7711","https://www.missionpoint.com/contact-us","Island resort operates hundreds of rooms, multiple food outlets, events, recreation, spa, grounds, and luggage logistics.","Late April through October","Unknown — confirm with host","74","medium","official_site_verified","Likely season is inferred from official published island operating dates; confirm employment dates and housing with host.","2026-07-12"
"Rockywold-Deephaven Camps","seasonal resorts","https://rdcsquam.com","https://rdcsquam.com/contact-rdc/","Holderness","NH","New England","","","rdc@rdcsquam.com","603-968-3313","https://rdcsquam.com/contact-rdc/","Squam Lake cottage-and-lodge operation has hospitality, housekeeping, grounds, waterfront, maintenance, and retail functions.","Late spring through early fall","Unknown — confirm with host","69","medium","official_site_verified","Likely season is an inference from the summer-camp resort format; official contact page publicly lists multiple operating departments.","2026-07-12"
"Seven Springs Mountain Resort","seasonal resorts","https://www.7springs.com","https://www.7springs.com/explore-the-resort/about-the-resort/guest-services.aspx","Seven Springs","PA","Mid-Atlantic","","","7springsinfo@vailresorts.com","814-352-7777","https://www.7springs.com/explore-the-resort/about-the-resort/guest-services.aspx","Large mountain resort has lodging, snow sports, summer recreation, dining, retail, facilities, and guest-service operations.","Winter and summer peak seasons","Unknown — confirm with host","69","medium","official_site_verified","Likely season is an inference from winter and summer resort offerings; current hiring channel and openings must be confirmed.","2026-07-12"
"The Bar W Guest Ranch","ranches","https://thebarw.com/","https://thebarw.com/contact","Whitefish","MT","Northern Rockies","","","info@thebarw.com","406-863-9099","https://thebarw.com/contact","Full-service guest ranch needs cross-functional hospitality and equine teams during high-touch guest stays.","May through October peak","Unknown — confirm with host","69","medium","official_site_verified","Likely season is inferred from official trail-ride dates and guest-ranch operations; confirm hiring window with host.","2026-07-12"
"Timberline Lodge","seasonal resorts","https://www.timberlinelodge.com/","https://timberlinelodge.com/contact-us/","Government Camp","OR","Mount Hood","John Burton","Director of Marketing & Public Affairs","","503-272-3311","https://timberlinelodge.com/contact-us/","Historic mountain lodge and ski area support hospitality, food, recreation, retail, maintenance, and guest-services learning.","Year-round with winter and summer peaks","Unknown — confirm with host","78","medium","official_site_verified","Season inferred from the official site's year-round lodge, ski, bike, and summer-snow operations; confirm exact placement timing.","2026-07-12"
"Vee Bar Guest Ranch","ranches","https://veebar.com/","https://veebar.com/vee-bar-guest-ranch-contact-info/","Laramie","WY","Northern Rockies","","","veebar@veebar.com","307-745-7036","https://veebar.com/vee-bar-guest-ranch-contact-info/","Guest ranch supports lodging, dining, equine activities, fishing, events, and ranch maintenance.","Summer peak with smaller winter programs","Unknown — confirm with host","81","medium","official_site_verified","Likely season is inferred from official summer guest-ranch and winter getaway pages; confirm hiring window with host.","2026-07-12"
"Wequassett Resort and Golf Club","seasonal resorts","https://wequassett.com","https://wequassett.com/contact-us/","Harwich","MA","New England","Nancy Covell","Sales","","508-430-3111","https://wequassett.com/contact-us/","Cape Cod resort combines lodging, multiple restaurants, golf, waterfront activities, events, and extensive guest services.","Late spring through early fall","Unknown — confirm with host","71","medium","official_site_verified","Likely season is an inference from Cape Cod resort demand; Nancy Covell and the sales number are publicly listed on the official contact page.","2026-07-12"
"Bar Harbor Whale Watch Co.","outdoor tourism operators","https://www.barharborwhales.com","https://www.barharborwhales.com/contact-us/","Bar Harbor","ME","New England","","","info@barharborwhales.com","207-288-2386","https://www.barharborwhales.com/contact-us/","High-volume coastal excursion operator likely needs vessel, ticketing, reservations, and guest-service support during peak visitation.","May through October","Unknown — confirm with host","81","medium","official_site_verified","Likely season is an inference from the official FAQ's May ticket-office opening and peak summer demand; confirm exact work period.","2026-07-12"
